brand,category,product_name,model,variant,sku,mrp,image_path,source_url
Axor,Helmets,Axor Agera Full Face Helmet With Spoiler,Axor Agera Full Face Helmet With Spoiler,Standard,10483316228228,9251.00,images_processed\axor\1_70280cb3-a04f-497d-99cb-8dc3115345b7.webp,
Axor,Helmets,Axor Agera Raiz Full Face Helmet With Spoiler,Axor Agera Raiz Full Face Helmet With Spoiler,Standard,10487803805828,9251.00,images_processed\axor\37_97e42a78-a03f-43f2-bf86-95cae37873d6.webp,
Axor,Helmets,Axor Agera Rush Full Face Helmet With Spoiler,Axor Agera Rush Full Face Helmet With Spoiler,Standard,10487749345412,9251.00,images_processed\axor\28_d3293d76-e49f-4eb4-ac27-1bf577c31231.webp,
Axor,Helmets,Axor Brutale Airwaves Full Face Helmet with Dual Spoilers,Axor Brutale Airwaves Full Face Helmet with Dual Spoilers,Standard,10483275825284,7991.00,images_processed\axor\1_4fbe3a9e-7006-4f0a-b20f-74efbf9c19bb.webp,
Axor,Helmets,Apex Scratch Helmet With Spoiler,Apex Scratch Helmet With Spoiler,Standard,10420834500740,5498.00,images_processed\axor\19.webp,
Axor,Helmets,Axor Apex Marvel Spider Man Edition Full-Face Helmet With Spoiler,Axor Apex Marvel Spider Man Edition Full-Face Helmet With Spoiler,Standard,10402640789636,6500.00,images_processed\axor\1_936bc0f6-31ef-48c8-af79-3d120215e05a.webp,
Axor,Helmets,Axor Kylo Bean Helmet,Axor Kylo Bean Helmet,Standard,10308755849348,3599.00,images_processed\axor\3_0a592bf5-84cc-460d-afff-c485b11d7cae.webp,
Axor,Helmets,Axor Kylo Bliss Helmet,Axor Kylo Bliss Helmet,Standard,10308683235460,3599.00,images_processed\axor\12_f34ec8f0-b8f2-4a94-93f1-af228afa2e0e.webp,
Axor,Helmets,Axor Kylo Ray Helmet,Axor Kylo Ray Helmet,Standard,10308676747396,3599.00,images_processed\axor\47_1.webp,
Axor,Helmets,Axor Kylo Solid Helmet,Axor Kylo Solid Helmet,Standard,10308561305732,3599.00,images_processed\axor\29_f1edb77f-0972-43fd-97c2-1afd79aecf9e.webp,
Axor,Helmets,Apex Revo Coated Visor,Apex Revo Coated Visor,Standard,10340528619652,1320.00,images_processed\axor\APEXREVOBLUE.webp,
Axor,Helmets,Brutale Insert Complete Set,Brutale Insert Complete Set,Standard,10329882263684,1650.00,images_processed\axor\13_5096eb9e-7952-4487-9c94-887c16efdbac.webp,
Axor,Helmets,Apex Infinity Helmet,Apex Infinity Helmet,Standard,10040850645124,5498.00,images_processed\axor\161.webp,
Axor,Helmets,Axor xBhp Bionic Helmet,Axor xBhp Bionic Helmet,Standard,10090546364548,6500.00,images_processed\axor\APEX_XBHP_BIONIC_WEB-3.webp,
Axor,Helmets,Axor X Altor  Apex Venomous Smart Bluetooth Helmet,Axor X Altor  Apex Venomous Smart Bluetooth Helmet,Standard,10247576518788,7910.00,images_processed\axor\V1.webp,
Axor,Helmets,Street DC Batman Helmet,Street DC Batman Helmet,Standard,7106699853956,6500.00,images_processed\axor\ANTHRACITEBLACK_3.webp,
Axor,Helmets,Axor IRIS Bluetooth Motorcycle Helmet Headset,Axor IRIS Bluetooth Motorcycle Helmet Headset,Standard,10217905094788,2240.00,images_processed\axor\IRISByAltorAxor-2.webp,
Axor,Helmets,Apex Dynamo Helmet,Apex Dynamo Helmet,Standard,7220798128260,5498.00,images_processed\axor\283.webp,
Axor,Helmets,Brutale Corsa Dual Spoiler Helmet,Brutale Corsa Dual Spoiler Helmet,Standard,10147324166276,7991.00,images_processed\axor\64.webp,
Axor,Helmets,Retro Jet West Helmet with Peak,Retro Jet West Helmet with Peak,Standard,7184887939204,2681.00,images_processed\axor\DULL_AQUA_GREEN_2.webp,
Axor,Helmets,Apex Ascetic Helmet,Apex Ascetic Helmet,Standard,10135909171332,5498.00,images_processed\axor\144.webp,
Axor,Helmets,Axor Tom Backpack for Helmet,Axor Tom Backpack for Helmet,Standard,10106433011844,1950.00,images_processed\axor\TOMWEB-1.webp,
Axor,Helmets,Brutale Kryptic Dual Spoiler Helmet,Brutale Kryptic Dual Spoiler Helmet,Standard,10053891653764,7991.00,images_processed\axor\46.webp,
Axor,Helmets,Brutale Ryden Dual Spoiler Helmet,Brutale Ryden Dual Spoiler Helmet,Standard,10053884903556,7991.00,images_processed\axor\2_cf594637-a812-40fa-8303-693d265398d6.webp,
Axor,Helmets,Brutale Solid Colors Dual Spoiler Helmet,Brutale Solid Colors Dual Spoiler Helmet,Standard,10047967854724,7991.00,images_processed\axor\11_11d102cc-ac9b-49a6-b000-8e2cc2a94428.webp,
