Original_Path,New_WebP_Path,Status,Error
images\100percent\0000_FA22_SNOWCRAFT_51001-00001.jpg,processed_images\100percent\0000_FA22_SNOWCRAFT_51001-00001.webp,SUCCESS,
images\100percent\0000_FA22_SNOWCRAFT_51001-00001_ALT_5bce425e-db21-4fb9-ae76-9eb16c7ae894.jpg,processed_images\100percent\0000_FA22_SNOWCRAFT_51001-00001_ALT_5bce425e-db21-4fb9-ae76-9eb16c7ae894.webp,SUCCESS,
images\100percent\0000_FA22_SNOWCRAFT_51001-00002.jpg,processed_images\100percent\0000_FA22_SNOWCRAFT_51001-00002.webp,SUCCESS,
images\100percent\0000_FA22_SNOWCRAFT_51001-00001_ALT.jpg,processed_images\100percent\0000_FA22_SNOWCRAFT_51001-00001_ALT.webp,SUCCESS,
images\100percent\0000_FA22_SNOWCRAFT_51001-00003.jpg,processed_images\100percent\0000_FA22_SNOWCRAFT_51001-00003.webp,SUCCESS,
images\100percent\0000_FA22_SNOWCRAFT_51001-00002_ALT.jpg,processed_images\100percent\0000_FA22_SNOWCRAFT_51001-00002_ALT.webp,SUCCESS,
images\100percent\0000_FA22_SNOWCRAFT_51001-00002_ALT_2cc403cf-068d-4f87-b230-a069af2195c0.jpg,processed_images\100percent\0000_FA22_SNOWCRAFT_51001-00002_ALT_2cc403cf-068d-4f87-b230-a069af2195c0.webp,SUCCESS,
images\100percent\0000_FA22_SNOWCRAFT_51001-00003_ALT.jpg,processed_images\100percent\0000_FA22_SNOWCRAFT_51001-00003_ALT.webp,SUCCESS,
images\100percent\0000_FA23_ACCURI_2_50013-00038.jpg,processed_images\100percent\0000_FA23_ACCURI_2_50013-00038.webp,SUCCESS,
images\100percent\0000_FA23_ACCURI_2_50014-00038.jpg,processed_images\100percent\0000_FA23_ACCURI_2_50014-00038.webp,SUCCESS,
images\100percent\0000_FA22_SNOWCRAFT_51001-00004_ALT.jpg,processed_images\100percent\0000_FA22_SNOWCRAFT_51001-00004_ALT.webp,SUCCESS,
images\100percent\0000_FA22_SNOWCRAFT_51001-00003_ALT_a553de70-873c-40b7-9e95-792fd0f611b3.jpg,processed_images\100percent\0000_FA22_SNOWCRAFT_51001-00003_ALT_a553de70-873c-40b7-9e95-792fd0f611b3.webp,SUCCESS,
images\100percent\0000_FA23_ACCURI_2_50015-00006-Enduro-MOTO_468631e7-8abe-4d4d-831c-051c5504f7ae.jpg,processed_images\100percent\0000_FA23_ACCURI_2_50015-00006-Enduro-MOTO_468631e7-8abe-4d4d-831c-051c5504f7ae.webp,SUCCESS,
images\100percent\0000_FA23_ACCURI_2_50016-00006-MTB_e7fe65ac-5964-4a12-a931-3823f373f90a.jpg,processed_images\100percent\0000_FA23_ACCURI_2_50016-00006-MTB_e7fe65ac-5964-4a12-a931-3823f373f90a.webp,SUCCESS,
images\100percent\0000_FA23_ACCURI_2_50017-00008_FORECAST_b267d6c0-5328-4e86-b0a4-5c3e26ce0bc9.jpg,processed_images\100percent\0000_FA23_ACCURI_2_50017-00008_FORECAST_b267d6c0-5328-4e86-b0a4-5c3e26ce0bc9.webp,SUCCESS,
images\100percent\0000_FA23_ACCURI_2_50018-00006-OTG_183b0261-2da5-46c2-8db6-d471edfd5d92.jpg,processed_images\100percent\0000_FA23_ACCURI_2_50018-00006-OTG_183b0261-2da5-46c2-8db6-d471edfd5d92.webp,SUCCESS,
images\100percent\0000_FA23_ACCURI_2_50018-00006-SAND_c718a8de-6b86-4089-a80b-945ff2bf3297.jpg,processed_images\100percent\0000_FA23_ACCURI_2_50018-00006-SAND_c718a8de-6b86-4089-a80b-945ff2bf3297.webp,SUCCESS,
images\100percent\0000_FA23_ACCURI_2_50026-00002-FORECAST-YOUTH_954c8fb3-b924-45b4-826b-59bfd651be0c.jpg,processed_images\100percent\0000_FA23_ACCURI_2_50026-00002-FORECAST-YOUTH_954c8fb3-b924-45b4-826b-59bfd651be0c.webp,SUCCESS,
images\100percent\0000_FA23_STRATA_2_50028-00013.jpg,processed_images\100percent\0000_FA23_STRATA_2_50028-00013.webp,SUCCESS,
images\100percent\0000_FA23_STRATA_2_50027-00013.jpg,processed_images\100percent\0000_FA23_STRATA_2_50027-00013.webp,SUCCESS,
images\100percent\0000_FA23_STRATA_2_50030-00004-SAND.jpg,processed_images\100percent\0000_FA23_STRATA_2_50030-00004-SAND.webp,SUCCESS,
images\100percent\0001_FA23_ACCURI_2_50013-00039.jpg,processed_images\100percent\0001_FA23_ACCURI_2_50013-00039.webp,SUCCESS,
images\100percent\0001_FA23_ACCURI_2_50015-00007-Enduro-MOTO_0919bc79-8c41-4673-8a7f-ab85ef814007.jpg,processed_images\100percent\0001_FA23_ACCURI_2_50015-00007-Enduro-MOTO_0919bc79-8c41-4673-8a7f-ab85ef814007.webp,SUCCESS,
images\100percent\0001_FA23_ACCURI_2_50014-00039.jpg,processed_images\100percent\0001_FA23_ACCURI_2_50014-00039.webp,SUCCESS,
images\100percent\0001_FA23_ACCURI_2_50016-00007-MTB_10dc8d89-78e3-4434-bf46-256475d3ea09.jpg,processed_images\100percent\0001_FA23_ACCURI_2_50016-00007-MTB_10dc8d89-78e3-4434-bf46-256475d3ea09.webp,SUCCESS,
images\100percent\0001_FA23_ACCURI_2_50017-00009-FORECAST_5a579fb2-937c-4fbf-9722-d5764925813a.jpg,processed_images\100percent\0001_FA23_ACCURI_2_50017-00009-FORECAST_5a579fb2-937c-4fbf-9722-d5764925813a.webp,SUCCESS,
images\100percent\0001_FA23_ACCURI_2_50018-00007-SAND_aaca9fd2-4d99-400e-ac43-b83c198d74f0.jpg,processed_images\100percent\0001_FA23_ACCURI_2_50018-00007-SAND_aaca9fd2-4d99-400e-ac43-b83c198d74f0.webp,SUCCESS,
images\100percent\0001_FA23_ACCURI_2_50018-00007-OTG_8d30f1c3-18ef-4cbb-9b3f-087b931d7169.jpg,processed_images\100percent\0001_FA23_ACCURI_2_50018-00007-OTG_8d30f1c3-18ef-4cbb-9b3f-087b931d7169.webp,SUCCESS,
images\100percent\0001_FA23_STRATA_2_50027-00014.jpg,processed_images\100percent\0001_FA23_STRATA_2_50027-00014.webp,SUCCESS,
images\100percent\0001_FA23_STRATA_2_50028-00014.jpg,processed_images\100percent\0001_FA23_STRATA_2_50028-00014.webp,SUCCESS,
images\100percent\0002_FA23_ACCURI_2_50013-00040.jpg,processed_images\100percent\0002_FA23_ACCURI_2_50013-00040.webp,SUCCESS,
images\100percent\0002_FA23_ACCURI_2_50013-00040_47215f29-985d-4038-aefb-d8a10b5a1139.jpg,processed_images\100percent\0002_FA23_ACCURI_2_50013-00040_47215f29-985d-4038-aefb-d8a10b5a1139.webp,SUCCESS,
images\100percent\0002_FA23_ACCURI_2_50014-00040.jpg,processed_images\100percent\0002_FA23_ACCURI_2_50014-00040.webp,SUCCESS,
images\100percent\0002_FA23_ACCURI_2_50014-00040_07afd8cf-275f-456d-9dcf-0744aca7832d.jpg,processed_images\100percent\0002_FA23_ACCURI_2_50014-00040_07afd8cf-275f-456d-9dcf-0744aca7832d.webp,SUCCESS,
images\100percent\0002_FA23_ACCURI_2_50015-00008-Enduro-MOTO_c9af315a-ec98-4c85-b062-895c9f5ec5bd.jpg,processed_images\100percent\0002_FA23_ACCURI_2_50015-00008-Enduro-MOTO_c9af315a-ec98-4c85-b062-895c9f5ec5bd.webp,SUCCESS,
images\100percent\0002_FA23_ACCURI_2_50016-00008-MTB_9ee34b6f-fb7f-4e5c-80dc-c6c0dc21d5bf.jpg,processed_images\100percent\0002_FA23_ACCURI_2_50016-00008-MTB_9ee34b6f-fb7f-4e5c-80dc-c6c0dc21d5bf.webp,SUCCESS,
images\100percent\0002_FA23_ACCURI_2_50017-00010-FORECAST_d4cda6c1-999e-47ab-a83d-4c5df7a74713.jpg,processed_images\100percent\0002_FA23_ACCURI_2_50017-00010-FORECAST_d4cda6c1-999e-47ab-a83d-4c5df7a74713.webp,SUCCESS,
images\100percent\0002_FA23_ACCURI_2_50018-00008-OTG_8a037f05-0c7c-4e22-adaf-0dfd60166cdb.jpg,processed_images\100percent\0002_FA23_ACCURI_2_50018-00008-OTG_8a037f05-0c7c-4e22-adaf-0dfd60166cdb.webp,SUCCESS,
