sku,product_name,brand,category,image_path,source_url
10483316228228,Axor Agera Full Face Helmet With Spoiler,Axor,Helmets,images_processed\axor\1_70280cb3-a04f-497d-99cb-8dc3115345b7.webp,
10487803805828,Axor Agera Raiz Full Face Helmet With Spoiler,Axor,Helmets,images_processed\axor\37_97e42a78-a03f-43f2-bf86-95cae37873d6.webp,
10487749345412,Axor Agera Rush Full Face Helmet With Spoiler,Axor,Helmets,images_processed\axor\28_d3293d76-e49f-4eb4-ac27-1bf577c31231.webp,
10483275825284,Axor Brutale Airwaves Full Face Helmet with Dual Spoilers,Axor,Helmets,images_processed\axor\1_4fbe3a9e-7006-4f0a-b20f-74efbf9c19bb.webp,
10420834500740,Apex Scratch Helmet With Spoiler,Axor,Helmets,images_processed\axor\19.webp,
10402640789636,Axor Apex Marvel Spider Man Edition Full-Face Helmet With Spoiler,Axor,Helmets,images_processed\axor\1_936bc0f6-31ef-48c8-af79-3d120215e05a.webp,
10308755849348,Axor Kylo Bean Helmet,Axor,Helmets,images_processed\axor\3_0a592bf5-84cc-460d-afff-c485b11d7cae.webp,
10308683235460,Axor Kylo Bliss Helmet,Axor,Helmets,images_processed\axor\12_f34ec8f0-b8f2-4a94-93f1-af228afa2e0e.webp,
10308676747396,Axor Kylo Ray Helmet,Axor,Helmets,images_processed\axor\47_1.webp,
10308561305732,Axor Kylo Solid Helmet,Axor,Helmets,images_processed\axor\29_f1edb77f-0972-43fd-97c2-1afd79aecf9e.webp,
10340528619652,Apex Revo Coated Visor,Axor,Helmets,images_processed\axor\APEXREVOBLUE.webp,
10329882263684,Brutale Insert Complete Set,Axor,Helmets,images_processed\axor\13_5096eb9e-7952-4487-9c94-887c16efdbac.webp,
10040850645124,Apex Infinity Helmet,Axor,Helmets,images_processed\axor\161.webp,
10090546364548,Axor xBhp Bionic Helmet,Axor,Helmets,images_processed\axor\APEX_XBHP_BIONIC_WEB-3.webp,
10247576518788,Axor X Altor  Apex Venomous Smart Bluetooth Helmet,Axor,Helmets,images_processed\axor\V1.webp,
7106699853956,Street DC Batman Helmet,Axor,Helmets,images_processed\axor\ANTHRACITEBLACK_3.webp,
10217905094788,Axor IRIS Bluetooth Motorcycle Helmet Headset,Axor,Helmets,images_processed\axor\IRISByAltorAxor-2.webp,
7220798128260,Apex Dynamo Helmet,Axor,Helmets,images_processed\axor\283.webp,
10147324166276,Brutale Corsa Dual Spoiler Helmet,Axor,Helmets,images_processed\axor\64.webp,
7184887939204,Retro Jet West Helmet with Peak,Axor,Helmets,images_processed\axor\DULL_AQUA_GREEN_2.webp,
10135909171332,Apex Ascetic Helmet,Axor,Helmets,images_processed\axor\144.webp,
10106433011844,Axor Tom Backpack for Helmet,Axor,Helmets,images_processed\axor\TOMWEB-1.webp,
10053891653764,Brutale Kryptic Dual Spoiler Helmet,Axor,Helmets,images_processed\axor\46.webp,
10053884903556,Brutale Ryden Dual Spoiler Helmet,Axor,Helmets,images_processed\axor\2_cf594637-a812-40fa-8303-693d265398d6.webp,
10047967854724,Brutale Solid Colors Dual Spoiler Helmet,Axor,Helmets,images_processed\axor\11_11d102cc-ac9b-49a6-b000-8e2cc2a94428.webp,
10050695037060,X-Cross Dual Visor Gambling Helmet,Axor,Helmets,images_processed\axor\166_9fe6ca85-cc42-47e4-beb2-9a580948d14b.webp,
10010835943556,Axor X Altor  Apex Smart Bluetooth Helmet,Axor,Helmets,images_processed\axor\169.webp,
10030775730308,Axor Viper Riding Gloves,Axor,Helmets,images_processed\axor\76_5de4c067-1575-4042-a621-4927cc49ffcc.webp,
9999541633156,Hunter DC Superman Helmet,Axor,Helmets,images_processed\axor\1_1ee7e1be-f970-4925-ba87-da10985359cc.webp,
8209666244740,Street Marvel Captain America Helmet,Axor,Helmets,images_processed\axor\StreetCaptainAmericaBlue10803.webp,
8195492937860,Saber Sasuke Helmet,Axor,Helmets,images_processed\axor\SasukeWeb3.webp,
8193244430468,Saber Spark Helmet,Axor,Helmets,images_processed\axor\BLACK_RED_3_c6c6ac71-4455-423c-ac7d-fe13e50a0fb3.webp,
8193242660996,Saber Shadow Helmet,Axor,Helmets,images_processed\axor\BLACKMBLUE3.webp,
